database,database_id,biosyn_class,compound,smiles
PubChem,445434,NRP,microcystin,CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C
PubChem,445434,NRP,microcystin LR,CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C
PubChem,446541,Polyketide,mycophenolic acid,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O
PubChem,447545,Polyketide,neocarzinostatin ,CC1C(C(C(C(O1)OC2C(C=C3C2=CC#CC4C(O4)(C#C3)C5COC(=O)O5)OC(=O)C6=C(C=CC7=C6C=C(C=C7C)OC)O)NC)O)O
PubChem,456419,Other,pneumocandin A0,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CC(=O)N)O)C)O)O)O
PubChem,456858,NRP,Echinocandin B,CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(C)O)C)O)OCCCN)O
PubChem,636718,NRP,hectochlorin,CC1C(OC(=O)C2=CSC(=N2)C(C(OC(=O)C3=CSC(=N3)C(OC1=O)C(C)(C)O)(C)C)OC(=O)C)CCCC(C)(Cl)Cl
PubChem,636857,NRP,andrimid,CC=CC=CC=CC(=O)NC(CC(=O)NC(C(C)C)C(=O)C1C(C(=O)NC1=O)C)C2=CC=CC=C2
PubChem,2826713,Other,alpha-galactosylceramide,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C(CCCCCCCCCCCCCC)O)O
PubChem,3008858,Terpene,Thaliandiol,CC(CC(=O)C=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)C(CC(C5(C)C)O)O)C)C
PubChem,3034761,Polyketide,tautomycin,CC1CCC2(CCC(C(O2)C(C)CCC(C(C)C(=O)CC(C(C(C(C)C)OC(=O)CC(C3=C(C(=O)OC3=O)C)O)OC)O)O)C)OC1CCC(C)C(=O)C
PubChem,3037873,NRP,mureidomycin B,CC(C(C(=O)NC=C1CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)C(CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)C(CC4=CC(=CC=C4)O)N
PubChem,3064514,Polyketide,7-deoxypactamycin,CCC1(C(C(C(C1(C)O)(COC(=O)C2=C(C=CC=C2O)C)O)NC3=CC=CC(=C3)C(=O)C)N)NC(=O)N(C)C
PubChem,3072006,NRP,pyralomicin 1a,CC1=CC(=C(C2=C1OC3=C(C2=O)C=C(N3C4C=C(C(C(C4O)O)OC)CO)Cl)O)Cl
PubChem,3081434,RiPP,Bottromycin A2,CC1CCN2C1C(=O)NC(C(=O)NC(C(=NCC2=O)NC(C(=O)NC(C(C)C3=CC=CC=C3)C(=O)NC(CC(=O)OC)C4=NC=CS4)C(C)(C)C)C(C)(C)C)C(C)C
PubChem,3086563,NRP,bacillomycin D,CCC(C)CCCCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(=O)NC(C(=O)NC(C(=O)N1)C(C)O)CC(=O)N)CCC(=O)N)CC(=O)N)CC2=CC=C(C=C2)O)CC(=O)N
ChemSpider,4576669,NRP,Althiomycin,COC1=CC(=O)N(C1)C(=O)C2CSC(=N2)C(CO)NC(=O)C3=CSC(=CN=O)N3
ChemSpider,4942838,Polyketide,Squalestatin S1,CC[C@H](C)C[C@H](C)/C=C/C(=O)O[C@@H]1[C@H]([C@]2(O[C@@H]([C@]([C@@]1(O2)C(=O)O)(C(=O)O)O)C(=O)O)CCC(=C)[C@H]([C@H](C)Cc3ccccc3)OC(=O)C)O
PubChem,5280489,Terpene,beta-carotein,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
PubChem,5280980,Other,CLAVULANIC ACID,C1C2N(C1=O)C(C(=CCO)O2)C(=O)O
PubChem,5280980,Other,clavulanic acid,C1C2N(C1=O)C(C(=CCO)O2)C(=O)O
PubChem,5280985,Polyketide,Actinorhodin,CC1C2=C(CC(O1)CC(=O)O)C(=C3C(=O)C=C(C(=O)C3=C2O)C4=CC(=O)C5=C(C6=C(C(OC(C6)CC(=O)O)C)C(=C5C4=O)O)O)O
PubChem,5281730,Polyketide,bikaverin,CC1=CC(=CC2=C1C(=O)C3=C(C4=C(C(=C3O2)O)C(=O)C(=CC4=O)OC)O)OC
PubChem,5281917,Polyketide,C-1027,CC1(C(C(C(C(O1)OC23C=CC=C2C#CC4=CC#CC3OC5=C(C=C(C=C5Cl)C(CC(=O)OCC4OC(=O)C6=C7C(=CC(=C6)OC)OC(=C)C(=O)N7)N)O)O)O)N(C)C)C
PubChem,5287620,Polyketide,brefeldin A,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O
PubChem,5288382,Polyketide,geldanamycin,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC
PubChem,5323531,Polyketide,oviedomycin,CC1=C(C2=CC(=C3C(=C2C(=O)C1=O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
PubChem,5326384,Polyketide,hygrocin B,CCC1CCC(=O)C2=C(C(=CC3=C2C(=O)C4=C(C3=O)NC(=O)C=CC4(C(=O)OC(C(C=C1)O)C)C)C)O
PubChem,5351560,Polyketide,chromomycin A3,CC1C(C(CC(O1)OC2C(CC3=C(C2=O)C(=C4C(=C3)C=C(C(=C4O)C)OC5CC(C(C(O5)C)OC(=O)C)OC6CC(C(C(O6)C)OC)O)O)C(C(=O)C(C(C)O)O)OC)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)OC(=O)C)(C)O)O
PubChem,5359037,Polyketide,Griseoxanthone B,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C(C=C3O)OC)C)O
PubChem,5359485,PK - Terpene,alternariol,CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O
PubChem,5381207,Polyketide,bongkrekic acid,CC(CC=CCCC=CC=CCC(C(=CC=C(C)C(=O)O)C)OC)C=CC(=CC(=O)O)CC(=O)O
PubChem,5384075,Polyketide,fredericamycin A,CC=CC=CC1=CC2=CC3=C(C(=C2C(=O)N1)O)C4(CC3)C(=O)C5=C(C6=C(C(=C5C4=O)O)C(=O)C(=CC6=O)OC)O
PubChem,5386092,Polyketide,amphotericin,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
PubChem,5386092,Other,Amphotericin B,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
PubChem,5458191,Polyketide,griseorhodin A,CC1=CC2=CC3=C(C(=C2C(=O)O1)O)OC4(C5C3O5)C(C6=CC7=C(C=C6O4)C(=O)C(=CC7=O)OC)O
PubChem,5467942,Terpene,cyclooctatin,CC(C)C1CCC2(C1=CCC(C3C(CC(C3C2)CO)O)(C)O)C
PubChem,5477086,Polyketide,ansamitocin,CC1C2CC(C(C=CC=C(CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)C)C)C)OC)(NC(=O)O2)O
PubChem,6433194,Polyketide,filipin,CCCCCC(C1C(CC(CC(CC(CC(CC(CC(C(=CC=CC=CC=CC=CC(C(OC1=O)C)O)C)O)O)O)O)O)O)O)O
PubChem,6436188,Polyketide,aureothin,CC1=C(OC(=C(C1=O)C)OC)C2CCC(=CC(=CC3=CC=C(C=C3)[N+](=O)[O-])C)O2
PubChem,6436285,Polyketide,fostriecin,CC(C=CC1CC=CC(=O)O1)(C(CC(C=CC=CC=CCO)O)OP(=O)(O)O)O
PubChem,6436820,Polyketide,ebelactone,CCC(C)C(C(C)C(=O)C(C)C=C(C)CC(C)C1C(C(=O)O1)C)O
PubChem,6437358,NRP,rhizoxin A,CC1C=CC2C(O2)(C(CC(OC(=O)C3C(O3)CC4CC1OC(=O)C4)C(C)C(C(=CC=CC(=CC5=COC(=N5)C)C)C)OC)O)C
PubChem,6437838,Polyketide,piericidin A1,CC=C(C)C(C(C)C=C(C)C=CCC(=CCC1=C(C(=O)C(=C(N1)OC)OC)C)C)O
PubChem,6437857,NRP,meleagrin,CC(C)(C=C)C12C=C(C(=O)N3C1(NC(=O)C3=CC4=CN=CN4)N(C5=CC=CC=C25)OC)O
PubChem,6438143,Polyketide,dehydrocurvularin,CC1CCC/C=C/C(=O)C2=C(C=C(C=C2CC(=O)O1)O)O
PubChem,6438267,Polyketide,angolamycin,CCC1C(C2C(O2)(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC
PubChem,6438329,Polyketide,calicheamicin,CCNC1COC(CC1OC)OC2C(C(C(OC2OC3C#CC=CC#CC4(CC(=O)C(=C3C4=CCSSSC)NC(=O)OC)O)C)NOC5CC(C(C(O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)OC7C(C(C(C(O7)C)O)OC)O)I)C)O)O
PubChem,6438401,NRP,cryptophyicin 1,CC1CNC(=O)C(NC(=O)C=CCC(OC(=O)C(OC1=O)CC(C)C)C(C)C2C(O2)C3=CC=CC=C3)CC4=CC(=C(C=C4)OC)Cl
PubChem,6438438,Polyketide,Macbecin II,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=CC(=C2O)C1OC)O)C)C)OC(=O)N)C)C)OC)OC
PubChem,6438453,Polyketide,galbonolide A,CCC1C(=CC(=C)CC(C=C(CC(C(=O)C(C(=O)O1)C)(CO)O)OC)C)C
PubChem,6438594,Other,difficidin,CC1CC=CC=CC=CCCCC(C(=CC=CCC(OC(=O)CC1=C)CCC(=CC=C)C)C)OP(=O)(O)O
PubChem,6438725,Polyketide,depudecin,CC(C1C(O1)C=CC2C(O2)C(C=C)O)O
PubChem,6438908,NRP,Curacin A,CC1CC1C2=NC(CS2)C=CCCC=CC=C(C)CCC(CC=C)OC
PubChem,6438908,NRP - PK,curacin A,CC1CC1C2=NC(CS2)C=CCCC=CC=C(C)CCC(CC=C)OC
PubChem,6439426,Polyketide,BE-14106,CCCC=CCC1CC=CC=C(C=CC=CC(C(C=C(C=CC=CC(=O)N1)C)O)O)C
PubChem,6439522,Other,isopropylstilbene,CC(C)C1=C(C=C(C=C1O)C=CC2=CC=CC=C2)O
PubChem,6441014,Polyketide,asukamycin,C1CCC(CC1)C=CC=CC=CC(=O)NC2=CC(C3C(C2=O)O3)(C=CC=CC=CC(=O)NC4=C(CCC4=O)O)O
PubChem,6442850,Polyketide,AF-toxin,CCC(C)C(C(=O)OC(C=CC=CC=CC(=O)O)C1(CO1)C)OC(=O)C(C(C)(C)O)O
PubChem,6444177,Polyketide,FD-891,CC1C=C(C=C(C(=O)OC(CC=CC=CCC(C2C(C1O)O2)O)C(C)CCC(C(C)C(C(C)C(C)OC)O)O)C)C
PubChem,6444206,Polyketide,elaiophylin,CCC1C(OC(CC1OC2CC(C(C(O2)C)O)O)(C(C)C(C(C)C3C(C=CC=CC(=O)OC(C(C=CC=CC(=O)O3)C)C(C)C(C(C)C4(CC(C(C(O4)C)CC)OC5CC(C(C(O5)C)O)O)O)O)C)O)O)C
PubChem,6445669,Polyketide,candicidin,CC1C=CC=CC=CC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O
PubChem,6446118,RiPP,Thiocillin I,CC=C1C2=NC(=CS2)C(=O)NC(C3=NC(=CS3)C(=O)NC(C4=NC(=CS4)C5=C(C=CC(=N5)C6=NC(=CS6)C7=NC(=CS7)C(=O)NC(=CC)C(=O)NCC(C)O)C8=NC(=CS8)C(=O)NC(C(=O)N1)C(C)O)C(C)O)C(C)(C)O
PubChem,6449106,NRP - PK,cremimycin,CCCCCCC1CC(=O)CCCC(CC(=O)C2=C(C(CC2C=C(C=CC=CC(=O)N1)C)OC3CC(C(C(O3)C)O)OC)O)O
PubChem,6449919,Saccharide,aculeximycin,CCCC(C(C)C(C(CC)C=CC(C(C)C1CC=C(C(C(C(CC(C(C(CC2CC(C(C(O2)(CC(C(CCC(CC(CC=C(C(=O)O1)CC)O)O)C)OC3C(C(C(C(O3)C)O)OC4CC(C(C(O4)C)O)N)OC5C(C(C(C(O5)C)O)O)O)O)O)O)O)C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C)O)O)OC7CC(C(C(O7)C)O)(C)N
PubChem,6450309,Other,Flexirubin,CCCCCCCCCCCCC1=C(C=C(C=C1OC(=O)C=CC=CC=CC=CC=CC=CC=CC=CC2=CC(=C(C=C2)O)C)C)O
PubChem,6451096,Other,macrolactin A,CC1CCCC=CC=CC(CC(CC=CC=CC(CC=CC=CC(=O)O1)O)O)O
PubChem,6474912,Other,Caryoynencin,C#CC#CC#CC#CC=CC=CC(CCCCC(=O)O)O
PubChem,6477354,Polyketide,kedarcidin,CC1C(C(CC(O1)OC2COC(=O)C(CC3=NC(=C(C=C3)OC4C=C5C#CC2=CC#CC6C5(C4OC7CC(C(C(O7)C)O)(C)O)O6)Cl)NC(=O)C8=C(C=C9C=C(C(=C(C9=C8)OC)OC)OC(C)C)O)O)N(C)C
PubChem,6481472,Other,Caprazamycin,CCCCCCCCCCCCCC(CC(=O)OC1CN(C(C(=O)N(C1C(=O)OC)C)C(C2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)OC4C(C(C(O4)CN)O)O)C)OC(=O)CC(C)CC(=O)OC5C(C(C(C(O5)C)OC)OC)OC
PubChem,6858006,Polyketide,avermectin,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C
PubChem,6917059,Polyketide,concanamycin A,CCC1C(C(CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)OC)C(C)C(C(C)C2(CC(C(C(O2)C=CC)C)O)O)O)OC)C)C)O
PubChem,6918547,Polyketide,ambruticin,CCC1C(=CCC(O1)C(=CC(C)C=CC2C(C2C=CC3C(C(CC(O3)CC(=O)O)O)O)C)C)C
ChemSpider,8103672,Alkaloid,violacein,c1ccc2c(c1)/C(=C\3/C=C(NC3=O)c4c[nH]c5c4cc(cc5)O)/C(=O)N2
ChemSpider,8226279,Polyketide,SNF4435D,CC1=CC(=C[C@@]2([C@H]1[C@]3([C@@H]2C4=CC=C(C=C4)[N+](=O)[O-])C[C@H](OC3)C5=C(C(=O)C(=C(O5)OC)C)C)C)C
ChemSpider,8274723,NRP,brabantamide A,O=C2O\C(=C\C(=O)NC(=O)CC(O[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1O)C)CCCCCCCCCCC)C3N2CCC3
ChemSpider,8899707,NRP,Nostophycin,NC(=O)CC[C@H]4NC(=O)[C@@H](O)[C@@H](C[C@H](O)CCCc1ccccc1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H]3CCCN3C(=O)CNC4=O)Cc5ccccc5)[C@H](C)CC
ChemSpider,8923602,NRP,fusaricidin B,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)O1)C)CCC(=O)N)[C@@H](C)O)C(C)C)C(C)C)NC(=O)CC(CCCCCCCCCCCCN=C(N)N)O
PubChem,9237955,Terpene,2-methylisoborneol,COC(=O)C1CC(CN1CN2C(=S)OC(=N2)C3=CC(=CC=C3)Br)O
ChemSpider,9676041,Terpene,welwitindolinone A isonitrile,CC4(C)[C@H]\1C[C@@H](Cl)[C@@](C)(C=C)C(/[N+]#[C-])=C/1[C@@]34C(=O)Nc2ccccc23
PubChem,9811230,RiPP,trunkamide,CCC(C)C1C(=O)NC(C(=O)N2CCCC2C(=O)NC(C3=NC(CS3)C(=O)NC(C(=O)NC(C(=O)N1)COC(C)(C)C=C)C(C)OC(C)(C)C=C)CC4=CC=CC=C4)C
PubChem,9833652,NRP,polymyxin B,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O
PubChem,9845622,NRP,pseurotin,CCC=CC(C(C1=C(C(=O)C2(O1)C(C(NC2=O)(C(=O)C3=CC=CC=C3)OC)O)C)O)O
PubChem,9849230,NRP,leinamycin,CC1C2=NC(=CS2)C=CC=CC(=O)C(C=C(CCC3(CC(=O)N1)C(C(=O)SS3=O)(C)O)C)O
PubChem,9887988,Polyketide,TAN-1612,CC(=O)C1=C(C2(C(=O)C3=C(C4=C(C=C(C=C4C=C3CC2(CC1=O)O)OC)O)O)O)O
PubChem,9915668,NRP,epoxomicin,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(=O)C1(CO1)C)NC(=O)C(C(C)CC)N(C)C(=O)C
PubChem,9928039,Other,Violacein,C1=CC=C2C(=C1)C(=C3C=C(NC3=O)C4=CNC5=C4C=C(C=C5)O)C(=O)N2
ChemSpider,9977735,NRP,Aeruginosin 98-C,Brc1c(O)ccc(c1)C[C@@H](O)C(=O)N[C@@H](C(=O)N2[C@H](C(=O)NCCCC/N=C(\N)N)C[C@@H]3CC[C@@H](OS(=O)(=O)O)C[C@H]23)[C@H](C)CC
